"happy","goodlife","satfin","degree","realinc","age","sex","polviews"
3,NA,2,1,24366,29,"female",NA
3,NA,3,0,NA,57,"female",NA
1,NA,3,0,37226,58,"male",NA
2,NA,2,0,18951,77,"male",NA
1,NA,2,4,50763,30,"female",NA
2,NA,2,1,13537,56,"female",NA
2,NA,1,1,24366,49,"female",NA
2,NA,2,0,30458,52,"female",NA
2,NA,2,0,37226,40,"male",NA
2,NA,1,1,43994,48,"male",NA
2,NA,1,0,50763,47,"female",NA
1,NA,1,1,37226,31,"male",NA
2,NA,2,1,2707,21,"male",NA
3,NA,3,0,2707,84,"female",NA
2,NA,2,0,2707,61,"female",NA
2,NA,3,1,2707,46,"female",NA
3,NA,3,3,13537,39,"female",NA
2,NA,2,0,2707,64,"female",NA
2,NA,1,0,2707,77,"male",NA
2,NA,2,1,8122,25,"male",NA
2,NA,2,0,13537,53,"male",NA
2,NA,1,0,24366,52,"male",NA
2,NA,2,0,8122,71,"male",NA
1,NA,1,0,30458,52,"male",NA
1,NA,2,0,24366,57,"male",NA
1,NA,2,0,13537,69,"female",NA
2,NA,3,0,8122,74,"female",NA
2,NA,2,1,18951,58,"female",NA
1,NA,2,1,18951,23,"female",NA
1,NA,2,0,13537,61,"female",NA
2,NA,2,0,2707,60,"female",NA
2,NA,2,0,8122,36,"female",NA
2,NA,1,4,24366,58,"male",NA
2,NA,2,0,2707,28,"male",NA
3,NA,2,0,8122,29,"male",NA
1,NA,1,0,24366,25,"male",NA
2,NA,2,1,30458,57,"male",NA
1,NA,2,1,NA,26,"female",NA
2,NA,1,0,24366,55,"male",NA
1,NA,2,3,24366,29,"female",NA
1,NA,2,0,NA,68,"female",NA
1,NA,1,1,NA,18,"female",NA
2,NA,1,0,30458,49,"male",NA
1,NA,1,1,13537,64,"male",NA
2,NA,1,1,43994,38,"male",NA
2,NA,2,0,30458,30,"male",NA
2,NA,2,0,NA,56,"female",NA
2,NA,3,1,37226,20,"female",NA
2,NA,2,1,30458,19,"male",NA
1,NA,3,0,18951,50,"female",NA
1,NA,2,1,60915,38,"male",NA
2,NA,3,1,13537,64,"female",NA
3,NA,2,0,18951,74,"female",NA
2,NA,2,1,NA,75,"female",NA
3,NA,3,1,NA,22,"male",NA
NA,NA,NA,0,8122,75,"male",NA
2,NA,2,3,2707,23,"female",NA
2,NA,1,1,13537,79,"female",NA
2,NA,2,0,24366,60,"male",NA
2,NA,2,1,30458,26,"male",NA
1,NA,2,1,18951,63,"male",NA
2,NA,1,0,24366,63,"female",NA
1,NA,1,1,43994,34,"female",NA
1,NA,1,0,8122,33,"male",NA
2,NA,1,1,43994,53,"male",NA
1,NA,1,1,NA,78,"male",NA
2,NA,3,0,18951,22,"female",NA
2,NA,2,0,60915,32,"male",NA
2,NA,2,1,37226,27,"male",NA
2,NA,2,1,30458,35,"female",NA
2,NA,2,1,30458,39,"female",NA
2,NA,2,2,18951,24,"female",NA
2,NA,3,1,60915,22,"female",NA
2,NA,3,1,30458,28,"male",NA
2,NA,2,1,30458,57,"male",NA
1,NA,2,1,30458,48,"male",NA
2,NA,3,1,13537,26,"male",NA
2,NA,2,0,18951,50,"female",NA
2,NA,3,1,30458,32,"female",NA
3,NA,2,0,43994,56,"female",NA
2,NA,2,1,NA,26,"male",NA
2,NA,3,1,8122,30,"female",NA
3,NA,2,0,8122,83,"male",NA
2,NA,3,1,2707,26,"female",NA
2,NA,3,0,30458,20,"male",NA
1,NA,2,0,18951,41,"male",NA
3,NA,2,0,8122,56,"female",NA
2,NA,1,0,2707,83,"female",NA
1,NA,1,0,30458,27,"female",NA
3,NA,2,0,NA,21,"female",NA
1,NA,2,1,13537,19,"male",NA
1,NA,2,1,NA,41,"male",NA
1,NA,3,1,24366,35,"male",NA
2,NA,1,0,13537,57,"female",NA
2,NA,1,1,13537,42,"female",NA
1,NA,1,0,13537,54,"female",NA
2,NA,1,1,2707,24,"female",NA
1,NA,2,0,2707,62,"male",NA
2,NA,2,0,NA,39,"male",NA
1,NA,1,NA,24366,24,"male",NA
1,NA,1,1,24366,66,"female",NA
2,NA,1,1,37226,55,"male",NA
2,NA,2,1,37226,25,"male",NA
2,NA,1,1,8122,61,"female",NA
1,NA,1,0,2707,62,"female",NA
1,NA,2,4,43994,29,"male",NA
2,NA,2,3,43994,27,"male",NA
2,NA,2,1,30458,44,"female",NA
1,NA,2,1,24366,44,"male",NA
3,NA,1,1,18951,34,"female",NA
1,NA,2,0,18951,23,"male",NA
2,NA,2,1,24366,58,"female",NA
1,NA,1,3,30458,24,"male",NA
1,NA,1,0,60915,34,"female",NA
1,NA,1,1,37226,42,"female",NA
1,NA,3,1,18951,32,"female",NA
2,NA,3,0,13537,52,"male",NA
2,NA,2,1,8122,22,"female",NA
3,NA,2,0,8122,35,"female",NA
3,NA,3,1,18951,45,"male",NA
1,NA,2,0,2707,30,"female",NA
1,NA,3,0,2707,35,"female",NA
1,NA,1,0,30458,36,"male",NA
1,NA,2,0,24366,57,"male",NA
2,NA,1,3,30458,28,"male",NA
1,NA,1,3,60915,42,"female",NA
2,NA,3,1,18951,23,"female",NA
3,NA,3,1,37226,53,"female",NA
1,NA,1,1,24366,22,"male",NA
2,NA,3,1,24366,60,"male",NA
1,NA,1,1,30458,56,"male",NA
2,NA,3,1,18951,24,"male",NA
2,NA,2,1,24366,26,"male",NA
3,NA,2,1,NA,55,"female",NA
1,NA,2,1,NA,20,"female",NA
1,NA,2,1,18951,30,"male",NA
2,NA,2,1,37226,26,"female",NA
2,NA,2,1,24366,36,"female",NA
2,NA,2,0,43994,42,"female",NA
2,NA,2,3,24366,28,"male",NA
1,NA,1,1,43994,54,"male",NA
1,NA,1,1,30458,49,"male",NA
1,NA,2,1,30458,30,"female",NA
1,NA,2,3,43994,40,"female",NA
1,NA,2,1,37226,55,"male",NA
3,NA,2,0,8122,74,"male",NA
3,NA,3,0,18951,48,"male",NA
2,NA,3,1,8122,63,"female",NA
1,NA,2,0,8122,72,"male",NA
2,NA,1,0,43994,30,"female",NA
2,NA,1,0,8122,78,"female",NA
1,NA,1,0,37226,44,"female",NA
2,NA,2,1,60915,48,"male",NA
3,NA,1,1,30458,29,"female",NA
2,NA,3,1,43994,21,"male",NA
1,NA,1,1,60915,20,"female",NA
3,NA,3,1,30458,52,"female",NA
2,NA,2,1,60915,40,"male",NA
3,NA,2,3,50763,42,"male",NA
2,NA,3,1,37226,54,"male",NA
2,NA,2,1,NA,43,"female",NA
1,NA,2,1,50763,25,"male",NA
3,NA,3,1,18951,28,"female",NA
2,NA,3,1,18951,43,"female",NA
1,NA,3,0,24366,45,"male",NA
2,NA,3,1,37226,48,"female",NA
2,NA,2,1,24366,36,"female",NA
2,NA,2,1,37226,28,"male",NA
1,NA,1,1,60915,27,"male",NA
1,NA,2,0,18951,52,"female",NA
2,NA,2,1,24366,20,"female",NA
2,NA,3,1,8122,28,"female",NA
2,NA,2,0,37226,38,"male",NA
1,NA,2,1,13537,48,"female",NA
3,NA,3,0,NA,47,"male",NA
2,NA,2,1,30458,59,"male",NA
2,NA,1,1,18951,26,"male",NA
3,NA,2,1,13537,63,"female",NA
2,NA,1,0,NA,80,"female",NA
3,NA,2,1,13537,68,"female",NA
2,NA,2,0,13537,49,"female",NA
2,NA,3,1,NA,21,"male",NA
1,NA,1,0,18951,27,"female",NA
2,NA,1,1,NA,41,"male",NA
2,NA,2,1,24366,31,"male",NA
3,NA,2,0,2707,76,"male",NA
2,NA,3,1,13537,26,"male",NA
3,NA,2,0,2707,73,"male",NA
2,NA,3,0,NA,49,"female",NA
1,NA,2,0,2707,72,"female",NA
2,NA,1,0,8122,53,"female",NA
2,NA,2,0,8122,39,"female",NA
3,NA,3,1,30458,31,"female",NA
2,NA,2,1,30458,52,"female",NA
2,NA,2,0,30458,61,"male",NA
2,NA,1,0,8122,85,"male",NA
3,NA,3,3,8122,54,"male",NA
1,NA,1,0,18951,69,"female",NA
1,NA,1,0,24366,65,"male",NA
1,NA,1,1,30458,41,"female",NA
1,NA,2,0,60915,58,"male",NA
2,NA,1,1,18951,57,"female",NA
2,NA,2,0,60915,55,"male",NA
2,NA,3,1,43994,47,"female",NA
1,NA,2,0,37226,60,"male",NA
1,NA,2,1,74452,53,"male",NA
2,NA,1,1,50763,57,"male",NA
2,NA,2,3,43994,28,"male",NA
1,NA,2,1,50763,48,"female",NA
3,NA,2,1,37226,51,"male",NA
1,NA,2,0,37226,33,"female",NA
2,NA,1,1,60915,47,"female",NA
1,NA,2,1,60915,36,"female",NA
2,NA,1,1,43994,19,"male",NA
2,NA,2,1,37226,26,"male",NA
2,NA,2,3,24366,25,"male",NA
1,NA,3,0,24366,24,"female",NA
1,NA,2,1,24366,22,"male",NA
2,NA,3,1,13537,25,"female",NA
2,NA,2,0,24366,21,"female",NA
2,NA,1,1,30458,29,"male",NA
3,NA,3,1,13537,26,"female",NA
1,NA,1,1,18951,21,"male",NA
1,NA,2,1,24366,53,"male",NA
2,NA,2,0,NA,44,"female",NA
2,NA,3,0,43994,46,"female",NA
1,NA,2,1,24366,46,"female",NA
1,NA,1,0,50763,60,"female",NA
2,NA,2,0,13537,50,"female",NA
1,NA,2,NA,24366,37,"male",NA
3,NA,1,0,2707,76,"male",NA
2,NA,2,0,18951,41,"female",NA
2,NA,3,0,8122,24,"female",NA
2,NA,3,0,24366,33,"female",NA
1,NA,3,1,24366,49,"female",NA
1,NA,1,0,18951,22,"male",NA
2,NA,2,0,8122,67,"male",NA
1,NA,3,0,8122,74,"male",NA
2,NA,1,1,50763,37,"male",NA
1,NA,2,0,37226,45,"female",NA
2,NA,1,0,30458,59,"female",NA
2,NA,1,1,43994,65,"female",NA
